route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
23576,MARTA,1,Marietta Blvd/Joseph E Lowery Blvd,,3,https://itsmarta.com/1.aspx,FF00FF,000000
23972,MARTA,2,Ponce de Leon Avenue / Druid Hills,,3,https://itsmarta.com/2.aspx,008000,000000
23578,MARTA,3,Martin Luther King Jr Dr/Auburn Ave,,3,https://itsmarta.com/3.aspx,FF8000,000000
23579,MARTA,4,Moreland Avenue,,3,https://itsmarta.com/4.aspx,FF00FF,000000
23580,MARTA,5,Piedmont Road / Sandy Springs,,3,https://itsmarta.com/5.aspx,00FFFF,000000
23581,MARTA,6,Clifton Road / Emory,,3,https://itsmarta.com/6.aspx,008080,000000
23582,MARTA,8,North Druid Hills Road,,3,https://itsmarta.com/8.aspx,008000,000000
23583,MARTA,9,Boulevard / Tilson Road,,3,https://itsmarta.com/9.aspx,00FFFF,000000
23584,MARTA,12,Howell Mill Road / Cumberland,,3,https://itsmarta.com/12.aspx,FF00FF,000000
23585,MARTA,14,14th Street / Blandtown,,3,https://itsmarta.com/14.aspx,00FF00,000000
23586,MARTA,15,Candler Road,,3,https://itsmarta.com/15.aspx,00FF00,000000
23587,MARTA,19,Clairmont Road / Howard Avenue,,3,https://itsmarta.com/19.aspx,FF00FF,000000
24132,MARTA,21,Memorial Drive,,3,https://itsmarta.com/21.aspx,FF00FF,000000
23589,MARTA,24,McAfee / Hosea Williams,,3,https://itsmarta.com/24.aspx,FF00FF,000000
23590,MARTA,25,Peachtree Boulevard,,3,https://itsmarta.com/25.aspx,FF00FF,000000
24133,MARTA,26,Marietta Street / Perry Boulevard,,3,https://itsmarta.com/26.aspx,008080,000000
23592,MARTA,27,Cheshire Bridge Road,,3,https://itsmarta.com/27.aspx,FF0080,000000
23593,MARTA,30,LaVista Road,,3,https://itsmarta.com/30.aspx,00FF00,000000
23594,MARTA,32,Bouldercrest,,3,https://itsmarta.com/32.aspx,00FF00,000000
23595,MARTA,34,Gresham Road,,3,https://itsmarta.com/34.aspx,FF00FF,000000
23596,MARTA,36,N Decatur Road / Virginia Highland,,3,https://itsmarta.com/36.aspx,A6CAF0,000000
23597,MARTA,37,Defoors Ferry Road,,3,https://itsmarta.com/37.aspx,00FF80,000000
23598,MARTA,39,Buford Highway,,3,https://itsmarta.com/39.aspx,008000,000000
23599,MARTA,40,Peachtree Street / Downtown,,3,https://itsmarta.com/40.aspx,FFFF00,000000
24134,MARTA,42,Pryor Road,,3,https://itsmarta.com/42.aspx,FF8000,000000
23601,MARTA,47,I-85 Access Road,,3,https://itsmarta.com/47.aspx,FF8080,000000
24136,MARTA,49,McDonough Boulevard,,3,https://itsmarta.com/49.aspx,FF8040,000000
23603,MARTA,50,Donald Lee Hollowell Parkway,,3,https://itsmarta.com/50.aspx,00FF00,000000
23604,MARTA,51,Joseph E Boone Boulevard,,3,https://itsmarta.com/51.aspx,00FFFF,000000
24137,MARTA,55,Jonesboro Road,,3,https://itsmarta.com/55.aspx,FF8000,000000
23606,MARTA,58,Hollywood Road / Lucile Avenue,,3,https://itsmarta.com/58.aspx,A6CAF0,000000
23607,MARTA,60,Hightower Road,,3,https://itsmarta.com/60.aspx,00FFFF,000000
23608,MARTA,66,Lynhurst Drive / Princeton Lakes,,3,https://itsmarta.com/66.aspx,00FFFF,000000
23609,MARTA,68,Benjamin E Mays Drive,,3,https://itsmarta.com/68.aspx,FF0000,000000
23610,MARTA,71,Cascade Road,,3,https://itsmarta.com/71.aspx,FF8080,000000
23611,MARTA,73,Fulton Industrial,,3,https://itsmarta.com/73.aspx,008000,000000
23612,MARTA,74,Flat Shoals Road,,3,https://itsmarta.com/74.aspx,FF8000,000000
23708,MARTA,75,Lawrenceville Highway,,3,https://itsmarta.com/75.aspx,00FF00,000000
23614,MARTA,78,Cleveland Avenue,,3,https://itsmarta.com/78.aspx,00FF00,000000
23615,MARTA,79,Sylvan Hills,,3,https://itsmarta.com/79.aspx,FF8000,000000
23616,MARTA,81,Venetian Hills / Delowe Drive,,3,https://itsmarta.com/81.aspx,00FF00,000000
23617,MARTA,82,Camp Creek / South Fulton Parkway,,3,https://itsmarta.com/82.aspx,008000,000000
24142,MARTA,83,Campbellton Road,,3,https://itsmarta.com/83.aspx,00FF00,000000
23619,MARTA,84,Washington Rd/Camp Crk Marketplace,,3,https://itsmarta.com/84.aspx,00FFFF,000000
23620,MARTA,85,Roswell,,3,https://itsmarta.com/85.aspx,008000,000000
24131,MARTA,86,Fairington Road,,3,https://itsmarta.com/86.aspx,A6CAF0,000000
23622,MARTA,87,Roswell Road / Sandy Springs,,3,https://itsmarta.com/87.aspx,00FFFF,000000
23623,MARTA,89,Old National Highway,,3,https://itsmarta.com/89.aspx,FF8040,000000
23624,MARTA,93,Headland Drive / Main Street,,3,https://itsmarta.com/93.aspx,00FFFF,000000
23625,MARTA,94,Northside Drive,,3,https://itsmarta.com/94.aspx,008000,000000
23626,MARTA,95,Metropolitan Parkway,,3,https://itsmarta.com/95.aspx,FF0000,000000
23973,MARTA,102,North Avenue / Little Five Points,,3,https://itsmarta.com/102.aspx,00FF00,000000
23628,MARTA,103,Peeler Road,,3,https://itsmarta.com/103.aspx,00FFFF,000000
23629,MARTA,104,Winters Chapel Road,,3,https://itsmarta.com/104.aspx,00FFFF,000000
